method,registration_recall,median_rotation_error_deg,median_translation_error,mean_runtime_seconds,evaluated_samples
a0_base_graph,0.46143057503506313,4.212100613338346,0.6581477172438482,0.5817253560350796,713
a1_dual_seeds,0.453015427769986,4.196657427102184,0.7902535133893738,0.5432350385960704,713
a2_second_order,0.4684431977559607,4.048837279228951,0.6761160756568823,0.5941879822145839,713
a3_adaptive_expand,0.47124824684431976,3.962480393329112,0.6194642494633644,0.624443742183712,713
a4_distribution_rank,0.47545582047685836,3.9722214509656393,0.4829489571036325,0.6248052043352047,713
a5_regeneration,0.4838709677419355,2.811361097330122,0.4695162310167835,1.065567442590474,713
