pair_index,scene,source_id,target_id,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,mean_hops,best_hops,effective_rank,regeneration_updates,regenerated_correspondences,subsample_seconds,graph_seconds,seed_seconds,search_seconds,refinement_seconds,regeneration_seconds
0,gazebo_summer,1,0,a0_base_graph,2000,0.0085,0.1653088761767577,0.018217461914698,True,0.5822727149999309,1.0,1.0,1.8536697841183012,,,3.541499995662889e-05,0.0479546789999858,0.4881741269999793,0.035062999000047,0.0109466200000269,
0,gazebo_summer,1,0,a1_dual_seeds,2000,0.0085,0.1653088761767577,0.018217461914698,True,0.539095356999951,1.0,1.0,1.8536697841183012,,,3.887699995175353e-05,0.0420057579999593,0.4532069119999278,0.0328455189999203,0.0108978040000238,
0,gazebo_summer,1,0,a2_second_order,2000,0.0085,0.1888558810394288,0.0133738021016783,True,0.5898331060000146,1.0,1.0,1.783990251269964,,,3.65459999329687e-05,0.0901741580000816,0.4532339369999363,0.0351723720000336,0.0111127339999939,
0,gazebo_summer,1,0,a3_adaptive_expand,2000,0.0085,0.1886870811146238,0.0133642519137862,True,0.6251929070000415,1.875,2.0,1.783990251269964,,,4.541700002391735e-05,0.0980211520000011,0.4527769970000008,0.0634768579999445,0.0107755259999748,
0,gazebo_summer,1,0,a4_distribution_rank,2000,0.0085,0.1886870811146238,0.0133642519137862,True,0.6243280249999543,1.875,2.0,1.783990251269964,,,4.50889999683568e-05,0.0968939819999832,0.4530442220000168,0.0635727939999242,0.01067293899996,
0,gazebo_summer,1,0,a5_regeneration,2000,0.0085,0.0659948822632349,0.0085269126556049,True,1.2855304460001662,1.875,2.0,1.783990251269964,6.0,50537.0,4.460499997094303e-05,0.0956475670000145,0.4530800460000819,0.0635064680000141,0.011071883999989,0.6620719880000934
1,gazebo_summer,2,0,a0_base_graph,2000,0.004,1.8359408318818309,1.2648810336156766,False,0.6571859250000216,1.0,1.0,1.3479448741367113,,,3.498399996715307e-05,0.0476216419999673,0.5493578030000208,0.047358024999994,0.0127014009999584,
1,gazebo_summer,2,0,a1_dual_seeds,2000,0.004,1.0081993829977698,1.233042626974992,False,0.5852864199999885,1.0,1.0,1.4186937176760417,,,3.992300003119453e-05,0.052558652000016,0.4899319869999772,0.0313286420000622,0.0113245150000693,
1,gazebo_summer,2,0,a2_second_order,2000,0.004,1.0082017211818244,1.2330427158231712,False,0.5794769190000579,1.0,1.0,1.4186937176760417,,,3.860700007862761e-05,0.091109973000016,0.4462988779999932,0.0307402329999604,0.0111880939999764,
1,gazebo_summer,2,0,a3_adaptive_expand,2000,0.004,1.7036017606164071,1.262782470560648,False,0.6115284269999393,1.6666666666666667,2.0,1.3483287830506232,,,4.31800000342264e-05,0.0963497430000188,0.4431003299999929,0.0606019690000039,0.0113280890000169,
1,gazebo_summer,2,0,a4_distribution_rank,2000,0.004,1.7036017606164071,1.262782470560648,False,0.617102665999937,1.6666666666666667,2.0,1.3483287830506232,,,4.4537000007949246e-05,0.1070795360000147,0.4401993989999937,0.0587571629999956,0.0109255610000218,
1,gazebo_summer,2,0,a5_regeneration,2000,0.004,1.7767466126846592,1.2434328410357527,False,1.0253323049998926,1.6666666666666667,2.0,1.3483287830506232,4.0,28164.0,4.22680000156106e-05,0.0947905760000367,0.4454743610000378,0.0587852649999831,0.0109351490000335,0.4152024349999692
2,gazebo_summer,3,0,a0_base_graph,2000,0.003,2.034230781414318,2.2612775132105245,False,0.5697442719999799,1.0,1.0,1.4991837633594836,,,3.2955000051515526e-05,0.0466383529999347,0.4814236710000159,0.0308958319999419,0.0106664639999962,
2,gazebo_summer,3,0,a1_dual_seeds,2000,0.003,2.034230781414318,2.2612775132105245,False,0.5177702380000255,1.0,1.0,1.4991837633594836,,,3.381700003046717e-05,0.0398989489999621,0.4367698610000161,0.0302168340000434,0.0107610339999837,
2,gazebo_summer,3,0,a2_second_order,2000,0.003,2.2394182078551363,2.273890986315997,False,0.5659410430000662,1.0,1.0,1.4611359913257784,,,3.527700005179213e-05,0.0868602940000755,0.4370498690000204,0.030974647999983,0.0109319800000093,
2,gazebo_summer,3,0,a3_adaptive_expand,2000,0.003,2.0607141667243885,2.262539055358643,False,0.6011266310000565,1.7708333333333333,2.0,1.4991837633594836,,,4.5584000076814846e-05,0.0927004220000071,0.4381311220000725,0.0591979409999794,0.0109560820000069,
2,gazebo_summer,3,0,a4_distribution_rank,2000,0.003,2.0607141667243885,2.262539055358643,False,0.599981605000039,1.7708333333333333,2.0,1.4991837633594836,,,4.340800001045864e-05,0.0935375069999508,0.4362743629999386,0.0591512690000399,0.010884156999964,
2,gazebo_summer,3,0,a5_regeneration,2000,0.003,1.988864650598676,2.2134196617530164,False,0.9151209350000044,1.7708333333333333,2.0,1.4991837633594836,6.0,22109.0,4.6999999995023245e-05,0.0928041560000565,0.4378824850000455,0.0591785539999136,0.010906374000001,0.3142114879999553
3,gazebo_summer,4,0,a0_base_graph,2000,0.0015,179.85327676665884,2.34340703825718,False,0.5686403380000229,1.0,1.0,1.6251175769150126,,,3.4063000043715874e-05,0.0467782350000334,0.4806365179999829,0.0303264589999798,0.0107725780000009,
3,gazebo_summer,4,0,a1_dual_seeds,2000,0.0015,179.85327676665884,2.34340703825718,False,0.5447564319999856,1.0,1.0,1.6251175769150126,,,3.493799999887415e-05,0.040829838000036,0.4477800359999264,0.0397882229999595,0.0161868379999532,
3,gazebo_summer,4,0,a2_second_order,2000,0.0015,179.92657361724008,4.543545103109501,False,0.640740876000109,1.0,1.0,1.05322353121963,,,5.1035000069532543e-05,0.1057679400000779,0.4935942780000459,0.0303878009999607,0.0108405659999561,
3,gazebo_summer,4,0,a3_adaptive_expand,2000,0.0015,179.9272021198921,4.543540842132848,False,0.6030255889999125,1.7395833333333333,2.0,1.05322353121963,,,4.800699991847068e-05,0.0956499460000941,0.4382813470000428,0.0583557960000007,0.010590752999974,
3,gazebo_summer,4,0,a4_distribution_rank,2000,0.0015,179.92731258396935,2.5067235891460555,False,0.6050109450000036,1.7395833333333333,2.0,1.3530714858196344,,,5.078900005628384e-05,0.0950253259999271,0.440024577000031,0.0589584909999985,0.0108538929999895,
3,gazebo_summer,4,0,a5_regeneration,2000,0.0015,179.86379968608273,2.492227598121421,False,0.8344533359999105,1.7395833333333333,2.0,1.3530714858196344,6.0,11456.0,4.830600005334418e-05,0.0941685220000181,0.434819010999945,0.0577365090000512,0.0108558939999738,0.2367289189999155
4,gazebo_summer,5,0,a0_base_graph,2000,0.0025,179.61530426201145,3.0480287243982014,False,0.5751613979999775,1.0,1.0,1.5901133792162585,,,3.509800001211261e-05,0.0447682630000372,0.4887319169999955,0.030525543000067,0.0110182810000196,
4,gazebo_summer,5,0,a1_dual_seeds,2000,0.0025,179.61267789560642,3.0475406207838294,False,0.581011138000008,1.0,1.0,1.5901133792162585,,,3.833000005215581e-05,0.0418833019999738,0.4561330100000305,0.0717999080000026,0.011070281000002,
