pair_index,scene,source_id,target_id,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,mean_hops,best_hops,effective_rank,regeneration_updates,regenerated_correspondences,subsample_seconds,graph_seconds,seed_seconds,search_seconds,refinement_seconds,regeneration_seconds
0,7-scenes-redkitchen,7,0,sagereg_regen,855,0.0573099415204678,2.334236500561645,0.0998956570125492,True,0.3207823449993157,1.8333333333333333,2.0,1.602565428803347,5.0,3674.0,,,,,,
1,7-scenes-redkitchen,8,0,sagereg_regen,978,0.0102249488752556,123.21700876089504,1.5198850262922443,False,0.3560103560084826,1.6979166666666667,2.0,1.964550274193589,6.0,4523.0,,,,,,
2,7-scenes-redkitchen,9,0,sagereg_regen,1001,0.0589410589410589,1.8682046397653584,0.0904687256378963,True,0.35477333599556,1.7395833333333333,2.0,1.5434785845745618,6.0,3201.0,,,,,,
3,7-scenes-redkitchen,16,0,sagereg_regen,776,0.027061855670103,4.248515770468479,0.0444045764372173,True,0.2750737989990739,1.7916666666666667,2.0,1.6227684669597762,5.0,2437.0,,,,,,
4,7-scenes-redkitchen,17,0,sagereg_regen,936,0.0053418803418803,91.05076236048708,0.5533730240777266,False,0.3215145449939882,1.7083333333333333,2.0,1.2308900553393205,6.0,2698.0,,,,,,
5,7-scenes-redkitchen,18,0,sagereg_regen,971,0.03913491246138,1.6675258827912538,0.0448587836149074,True,0.3486277879928821,1.75,2.0,1.336224712774316,3.0,3345.0,,,,,,
6,7-scenes-redkitchen,20,0,sagereg_regen,969,0.0392156862745098,1.976377643251813,0.0572062379843158,True,0.3462957180017838,1.8020833333333333,2.0,1.155943366061024,5.0,3576.0,,,,,,
7,7-scenes-redkitchen,25,0,sagereg_regen,896,0.0078125,14.6514454086949,2.0313957990608014,False,0.3209554440036299,1.75,2.0,1.6761382681404398,5.0,2770.0,,,,,,
8,7-scenes-redkitchen,30,0,sagereg_regen,551,0.0,138.04924868688727,2.9770564399577317,False,0.1937067909966572,1.7916666666666667,2.0,1.3887038808604983,4.0,2059.0,,,,,,
9,7-scenes-redkitchen,31,0,sagereg_regen,553,0.0090415913200723,98.28356358541188,1.106425531149708,False,0.1925085550028598,1.6458333333333333,2.0,1.9652851049127789,5.0,1804.0,,,,,,
10,7-scenes-redkitchen,32,0,sagereg_regen,530,0.0056603773584905,171.35371092750114,2.229551353617228,False,0.1770699519984191,1.6979166666666667,2.0,2.075847964819788,2.0,1995.0,,,,,,
11,7-scenes-redkitchen,33,0,sagereg_regen,548,0.0127737226277372,154.9254735455815,1.2457777751264014,False,0.1896784220007248,1.8333333333333333,2.0,2.0230946239979493,3.0,2002.0,,,,,,
12,7-scenes-redkitchen,34,0,sagereg_regen,522,0.0,143.12990416607047,2.2516987597902847,False,0.177606299999752,1.3854166666666667,2.0,1.2419837457812049,4.0,2265.0,,,,,,
13,7-scenes-redkitchen,36,0,sagereg_regen,932,0.0085836909871244,111.99406315075412,1.779838964802136,False,0.3222485360020073,1.8333333333333333,2.0,1.8033840247533024,4.0,3013.0,,,,,,
14,7-scenes-redkitchen,37,0,sagereg_regen,924,0.0259740259740259,91.92540125923928,0.5740686391739861,False,0.3207182870028191,1.7708333333333333,2.0,1.6636569628454916,4.0,4903.0,,,,,,
15,7-scenes-redkitchen,38,0,sagereg_regen,734,0.0326975476839237,4.300152547291798,0.0521958381388453,True,0.2644058340010815,1.7916666666666667,2.0,1.993476145396868,4.0,4383.0,,,,,,
16,7-scenes-redkitchen,41,0,sagereg_regen,844,0.0627962085308056,2.9979275987027614,0.1063144079759856,True,0.30409070099995,1.8229166666666667,2.0,1.4691841963897625,6.0,3721.0,,,,,,
17,7-scenes-redkitchen,42,0,sagereg_regen,719,0.0514603616133518,3.803635207336467,0.1079752950406861,True,0.2573514730102033,1.9375,2.0,1.8961022436670143,4.0,3145.0,,,,,,
18,7-scenes-redkitchen,43,0,sagereg_regen,658,0.0273556231003039,3.1884001930644086,0.0710764187089393,True,0.2406316699998569,1.875,2.0,2.106680782756849,6.0,2732.0,,,,,,
19,7-scenes-redkitchen,44,0,sagereg_regen,618,0.0566343042071197,1.6324766632035843,0.0318527548613629,True,0.2188435980060603,1.8541666666666667,2.0,1.609231657382766,3.0,2552.0,,,,,,
20,7-scenes-redkitchen,45,0,sagereg_regen,528,0.0189393939393939,132.17950528017482,0.9959570911630018,False,0.1953384049993474,1.7916666666666667,2.0,2.071104661466333,6.0,2433.0,,,,,,
21,7-scenes-redkitchen,46,0,sagereg_regen,414,0.0314009661835748,2.824131307066976,0.0647159050980947,True,0.1475352089983062,1.6666666666666667,2.0,2.020751407307395,6.0,2541.0,,,,,,
22,7-scenes-redkitchen,47,0,sagereg_regen,405,0.0345679012345679,2.7815663423638157,0.0343019811010424,True,0.1439059609983815,1.75,2.0,1.7221488474451525,6.0,2096.0,,,,,,
23,7-scenes-redkitchen,48,0,sagereg_regen,419,0.0167064439140811,17.286463155727624,0.2323677460670768,False,0.1402818280039355,1.7395833333333333,2.0,1.8441659522172995,6.0,1887.0,,,,,,
24,7-scenes-redkitchen,49,0,sagereg_regen,406,0.022167487684729,156.60753878341413,3.446982677310181,False,0.124272002998623,1.7604166666666667,2.0,1.0905335428636131,0.0,1069.0,,,,,,
25,7-scenes-redkitchen,50,0,sagereg_regen,365,0.021917808219178,107.69889012835966,0.443801335130032,False,0.1249717689934186,1.71875,2.0,1.6730133065904853,6.0,1515.0,,,,,,
26,7-scenes-redkitchen,51,0,sagereg_regen,256,0.03125,10.29356492705721,0.0579494244455015,True,0.0984386229974916,1.7708333333333333,2.0,1.8118087333706905,5.0,1654.0,,,,,,
27,7-scenes-redkitchen,52,0,sagereg_regen,406,0.0197044334975369,7.25940853936276,0.0632066687363737,True,0.1382445560011547,1.65625,2.0,1.6083077702011892,6.0,1715.0,,,,,,
28,7-scenes-redkitchen,53,0,sagereg_regen,599,0.010016694490818,165.9346374213893,2.5779209553485227,False,0.211508310996578,1.8333333333333333,2.0,1.6868042594281432,4.0,1574.0,,,,,,
29,7-scenes-redkitchen,59,0,sagereg_regen,703,0.0071123755334281,90.26218481949306,0.8818904006897419,False,0.2521482950032805,1.84375,2.0,2.5095505249547987,5.0,3555.0,,,,,,
30,7-scenes-redkitchen,6,1,sagereg_regen,736,0.0516304347826086,0.8749520802802344,0.0235791668584508,True,0.272019595002348,1.8020833333333333,2.0,1.2473692083512151,5.0,3116.0,,,,,,
31,7-scenes-redkitchen,7,1,sagereg_regen,759,0.0158102766798418,14.626596143852431,1.6032346622694804,False,0.2783353600025293,1.7604166666666667,2.0,1.5941842783039046,6.0,4190.0,,,,,,
32,7-scenes-redkitchen,9,1,sagereg_regen,950,0.031578947368421,1.9319616640672788,0.0708736048399184,True,0.3255091550017823,1.7604166666666667,2.0,1.7537983721354535,6.0,1961.0,,,,,,
33,7-scenes-redkitchen,18,1,sagereg_regen,932,0.0150214592274678,112.0413274953116,1.8844085104592396,False,0.3361776920064585,1.7604166666666667,2.0,2.0004957951682885,6.0,2834.0,,,,,,
34,7-scenes-redkitchen,19,1,sagereg_regen,840,0.075,2.426162634043015,0.0305460919345081,True,0.3072052360002999,1.7916666666666667,2.0,1.3318595275336802,5.0,3620.0,,,,,,
35,7-scenes-redkitchen,20,1,sagereg_regen,881,0.039727582292849,3.4066017505524138,0.0584316996753812,True,0.3028834799988544,1.7708333333333333,2.0,1.2165945511563814,2.0,2426.0,,,,,,
36,7-scenes-redkitchen,25,1,sagereg_regen,903,0.0022148394241417,176.153564953052,6.366550998711444,False,0.3159896330034826,1.78125,2.0,1.665567133495291,4.0,2962.0,,,,,,
37,7-scenes-redkitchen,30,1,sagereg_regen,569,0.0105448154657293,146.7007440783291,3.212152253141701,False,0.213212934002513,1.8854166666666667,2.0,2.188646296405502,6.0,2725.0,,,,,,
