pair_index,variant,rotation_error_deg,translation_error,success,runtime_seconds
0,base,2.3039572925958156,0.056514332920350296,True,1.2707309199977317
0,seeds_48,2.3039572925958156,0.056514332920350296,True,0.15085847100272076
0,seeds_72,2.3039572925958156,0.056514332920350296,True,0.21443909899971914
0,seeds_120,2.3039572925958156,0.056514332920350296,True,0.35391168700152775
0,neighbors_24,2.297788949205152,0.056232444604058136,True,0.20408721499552485
0,neighbors_36,1.7889105829304708,0.054598613405025795,True,0.24368440699618077
0,neighbors_72,1.7721175770014013,0.05219335059046755,True,0.32947422699362505
0,hypotheses_5,2.08197487912027,0.06433030503100622,True,0.2724781310025719
0,hypotheses_10,1.7746536114357587,0.052170957986897415,True,0.2743137770012254
0,hypotheses_30,2.3039572925958156,0.056514332920350296,True,0.28251590400032
0,motif_0,2.0576796372676998,0.0544486810941263,True,0.26199195600202074
0,motif_075,2.213811015547266,0.05099751376655436,True,0.2791529950045515
0,motif_225,1.8096168223222497,0.05515915085605429,True,0.279673659002583
16,base,5.371324701219795,0.04022340850110886,True,0.26344843500555726
16,seeds_48,5.371324701219795,0.04022340850110886,True,0.14621875500597525
16,seeds_72,5.371324701219795,0.04022340850110886,True,0.2046070360011072
16,seeds_120,5.371324701219795,0.04022340850110886,True,0.3286262660039938
16,neighbors_24,4.234819532312691,0.05746703902070768,True,0.19462948299769778
16,neighbors_36,5.357696854711969,0.0402453286830289,True,0.2291566049971152
16,neighbors_72,5.393870878165595,0.0402861071708744,True,0.31183272499765735
16,hypotheses_5,4.228858970947289,0.05725292506886315,True,0.25720262299728347
16,hypotheses_10,5.358373529710521,0.040242282265217325,True,0.2592908780061407
16,hypotheses_30,5.371324701219795,0.04022340850110886,True,0.2669889660028275
16,motif_0,5.358918288958472,0.04023611786193028,True,0.24845681499573402
16,motif_075,5.44377195323453,0.04055608673361039,True,0.2653944919948117
16,motif_225,5.3713201473496035,0.040223425322195555,True,0.26283929200144485
32,base,4.608584298636326,0.1432807220021221,True,0.2934451559995068
32,seeds_48,4.607091870623263,0.14324465777028042,True,0.16489349900075467
32,seeds_72,4.607091870623263,0.14324465777028042,True,0.22608205200231168
32,seeds_120,4.608584298636326,0.1432807220021221,True,0.3722196019953117
32,neighbors_24,3.961975691378729,0.12993728544768793,True,0.21528719700290821
32,neighbors_36,4.6070811742976145,0.14324439885464788,True,0.25716850999742746
32,neighbors_72,4.608812868319859,0.14328636145328,True,0.35204268399684224
32,hypotheses_5,4.607091870623263,0.14324465777028042,True,0.2862772959997528
32,hypotheses_10,4.608584298636326,0.1432807220021221,True,0.2884285070031183
